Date,Region,Holiday_Name
2026-01-01,Both,New Year's Day
2026-01-19,US,Martin Luther King Jr. Day
2026-02-16,US,Presidents Day
2026-04-03,UK,Good Friday
2026-04-06,UK,Easter Monday
2026-05-04,UK,Early May bank holiday
2026-05-25,Both,Spring bank holiday / Memorial Day
2026-06-19,US,Juneteenth
2026-08-31,UK,Summer bank holiday
2026-09-07,US,Labor Day
2026-10-12,US,Columbus Day
2026-11-11,US,Veterans Day
2026-11-26,US,Thanksgiving Day
2026-12-25,Both,Christmas Day
2026-12-28,UK,Boxing Day
2027-01-01,Both,New Year's Day
2027-01-18,US,Martin Luther King Jr. Day
2027-02-15,US,Presidents Day
2027-03-26,UK,Good Friday
2027-03-29,UK,Easter Monday
2027-05-03,UK,Early May bank holiday
2027-05-31,Both,Spring bank holiday / Memorial Day
2027-07-05,US,Independence Day (observed)
2027-08-30,UK,Summer bank holiday
2027-09-06,US,Labor Day
2027-10-11,US,Columbus Day
2027-11-11,US,Veterans Day
2027-11-25,US,Thanksgiving Day
2027-12-27,UK,Christmas Day (observed)
2027-12-28,UK,Boxing Day (observed)
2028-01-03,UK,New Year's Day (observed)
2028-01-17,US,Martin Luther King Jr. Day
2028-02-21,US,Presidents Day
2028-04-14,UK,Good Friday
2028-04-17,UK,Easter Monday
2028-05-01,UK,Early May bank holiday
2028-05-29,Both,Spring bank holiday / Memorial Day
2028-06-19,US,Juneteenth
2028-07-04,US,Independence Day
2028-08-28,UK,Summer bank holiday
2028-09-04,US,Labor Day
2028-10-09,US,Columbus Day
2028-11-23,US,Thanksgiving Day
2028-12-25,Both,Christmas Day
2028-12-26,UK,Boxing Day
2029-01-01,Both,New Year's Day
2029-01-15,US,Martin Luther King Jr. Day
2029-02-19,US,Presidents Day
2029-03-30,UK,Good Friday
2029-04-02,UK,Easter Monday
2029-05-07,UK,Early May bank holiday
2029-05-28,Both,Spring bank holiday / Memorial Day
2029-06-19,US,Juneteenth
2029-07-04,US,Independence Day
2029-08-27,UK,Summer bank holiday
2029-09-03,US,Labor Day
2029-10-08,US,Columbus Day
2029-11-12,US,Veterans Day (observed)
2029-11-22,US,Thanksgiving Day
2029-12-25,Both,Christmas Day
2029-12-26,UK,Boxing Day
